team,color_1,color_2,color_3
Hanover Panthers,#a6192e,#003087,
Harding Bisons,#000000,#cbb778,
Hardin–Simmons Cowboys,#581483,#ffc72c,
Harris–Stowe Hornets,#453536,#ffb81c,
Hartford Hawks,#c02427,#000000,
Hartwick Hawks,#0033a1,#000000,
Harvard Crimson,#a31f36,#2c2a29,
Harvey Mudd Stags,#862633,#eaaa00,
Haskell Indian Nations Fightin' Indians,#470a68,#ffb81c,
Hastings Broncos,#9d2235,#010101,
Haverford Fords,#9d2235,#000000,
Hawaii Pacific Sharks,#007298,#71b1c8,
Hawaii Rainbow Warriors,#024731,#000000,
Hawaii–Hilo Vulcans,#d81e05,#000000,
Heart of America Athletic Conference,#002d72,#e8000d,
Heidelberg Student Princes,#fa4616,#c8102e,
Henderson State Reddies,#a91d36,#000000,
Hendrix Warriors,#010101,#e87722,
High Point Panthers,#330072,#818183,
Hilbert Hawks,#0071ce,#ffc629,
Hillsdale Chargers,#004678,#abadbc,
Hiram Terriers,#003a70,#8a1538,
Hobart Statesmen,#472663,#ff6418,
Hockey East Association,#003882,,
Hofstra Pride,#003591,#fdc82f,
Hollins University,#006747,#ffcd00,
Holy Cross Crusaders,#602d89,#aeb2b5,
Holy Cross Saints,#651c32,#768692,
Holy Family Tigers,#00a3e0,#010101,
Holy Names Hawks,#c70021,#b0b0b0,
Hood Blazers,#236192,#a59c94,
Hope Flying Dutchmen,#e35205,#0c2340,
Hope International Royals,#001489,#a7a8a9,
Houghton Highlanders,#2e1a47,#b3a369,
Houston Christian Huskies,#002f87,#ff4e00,
Houston Cougars,#c92a39,#b8b9b7,
Houston–Victoria Jaguars,#da291c,#010101,
Howard Bison,#003a63,#e31837,
Howard Payne Yellow Jackets,#00205b,#fed141,
Humboldt State Lumberjacks,#046a38,#ffc72c,
Hunter Hawks,#2e008b,#ffc72c,
Huntingdon Foresters,#115740,#010101,
Huntingdon Hawks,#c8102e,#bbbcbc,
Husson Eagles,#004c45,#a89968,
Huston–Tillotson Rams,#651c32,#ffd100,
Hutchinson Blue Dragons,#d9293e,#004693,
IUP Crimson Hawks,#9e1b32,#a2a5a4,
IUPUI Jaguars,#990000,#f1be48,
Idaho State Bengals,#f47920,#000000,#000000
Idaho Vandals,#f1b300,#808080,#000000
Illinois College Blueboys,#004a77,#828a93,
Illinois Fighting Illini,#13294b,#e84a27,
Illinois State Redbirds,#ce142b,#000000,
Incarnate Word Cardinals,#cb333b,#000000,
Independence Bowl,#211747,#ab2328,
Indiana Hoosiers,#990000,#edebeb,
Indiana State Sycamores,#0c4c91,#d0d0ce,
Indiana Tech Warriors,#fa4616,#000000,
Indianapolis Greyhounds,#9d2136,#c0bfba,
Iona Gaels,#661e2b,#eaaf0f,
Iowa Hawkeyes,#000000,#fcd116,
